Palette,Tags,Color1,Color2,Color3,Color4,Color5,Color6,Color7,Color8,Color9
Pastel 1,Qualitative,#FFC5D0,#F5CCB5,#DCD6A7,#BBDEB1,#9FE2CA,#9CE0E6,#B8D8F8,#DDCDFA,#F8C5EB
Dark 2,Qualitative,#C87A8A,#B9865F,#9A9346,#6B9D59,#22A382,#00A1A9,#5F96C2,#9E85C5,#C179B0
Dark 3,Qualitative,#E16A86,#CB7F2F,#9F9400,#50A315,#00AC79,#00AAB7,#009ADE,#A87BE4,#DA65C3
Set 2,Qualitative,#ED90A4,#DC9E70,#B7AE50,#7EBA68,#1DC199,#00BFC8,#6FB1E7,#BB9DEA,#E48FD1
Set 3,Qualitative,#FFB3B5,#EBBE8F,#C6CC82,#95D69A,#67DAC2,#70D5E7,#AAC8FC,#DFB8F9,#FCAFDE
Warm,Qualitative,#ABB065,#BAAC65,#C7A76C,#D2A277,#DB9D85,#E19995,#E495A5,#E493B4,#E093C3
Cold,Qualitative,#ACA4E2,#96AAE1,#7DB0DD,#64B5D6,#4CB9CC,#3BBCBF,#39BEB1,#47BEA2,#5CBD92
Harmonic,Qualitative,#C7A76C,#B3AE64,#99B56B,#7CBA7C,#5CBD92,#3FBEA9,#3BBCBF,#57B8D1,#7DB0DD
Dynamic,Qualitative,#DB9D85,#BFAA67,#93B66E,#5CBD92,#38BDBB,#6CB4D9,#ACA4E2,#D596D2,#E494AF
Grays,Sequential (single-hue),#1B1B1B,#393939,#585858,#787878,#969696,#B4B4B4,#D0D0D0,#E8E8E8,#F9F9F9
Light Grays,Sequential (single-hue),#474747,#606060,#7A7A7A,#919191,#A8A8A8,#BCBCBC,#CDCDCD,#DBDBDB,#E2E2E2
Blues 2,Sequential (single-hue),#023FA5,#485CA8,#6A76B2,#878FBD,#A1A6C8,#B7BBD1,#CBCDD9,#DADBDF,#E2E2E2
Blues 3,Sequential (single-hue),#00366C,#00538E,#0072B4,#468FD0,#79ABE2,#A1C4F1,#C3DBFD,#E1EEFF,#F9F9F9
Purples 2,Sequential (single-hue),#3C2692,#544895,#6C64A2,#847EB0,#9D98BE,#B4B2CD,#CBC9DA,#E0DFE7,#F1F1F1
Purples 3,Sequential (single-hue),#312271,#4F4293,#6D60BB,#8B80D1,#A79FE1,#C2BCF0,#DAD6FA,#EDEBFF,#F9F9F9
